summary,issueKey,issueId,issueType,status,projectKey,projectName,priority,resolution,assignee,reporterEmail,creatorEmail,created,updated,lastViewed,resolved,dueDate,description,partnerNames,causeOfIssue,recordTransactionId,region,relevantDepartments,relevantDepartments1,requestCategory,requestType,requestLanguage,resolutionAction,satisfactionRating,satisfactionDate,source,timeToFirstResponse,timeToResolution,workCategory,statusCategory,statusCategoryChanged,dateOfFirstResponse,comments,lastMessage,priorityScore
SO-XXXXXX - TEST,PART1-5272,28196,[System] Service request,Closed,PART1,Partner Support,Medium,Done,BM,lioimmga.mgrcsuselo@a,@orogaeimmgllsicas.um,2023-07-10 11:51:00,2024-04-27 12:19:00,2025-02-26 03:05:00,2024-04-26 07:53:00,,,,,,,,,,General Questions,English,,0.0,,Portal,10500,,service-request,Done,2023-07-10 01:22:00,00:07:00.100000,"{""comment1"": ""07/10/2023 01:07;5fb17b020dd553006f17ff0a;Hi Darb,\n\nWe will look into this."", ""comment2"": ""07/10/2023 01:07;5fb17b020dd553006f17ff0a;I think this needs to go to IT"", ""comment3"": ""07/10/2023 01:10;5fb29c170dd553006f224f06;h6. \u00f0\u0178\u008f\u00b3\u00ef\u00b8\u008f Message originally posted in [IT-4689|https://capitalareafoodbank.atlassian.net/browse/IT-4689] on 10/Jul/2023 01:09 PM\n\nOK I will look"", ""comment4"": ""07/10/2023 01:10;5fb29c170dd553006f224f06;h6. \u00f0\u0178\u008f\u00b3\u00ef\u00b8\u008f Message originally posted in [IT-4689|https://capitalareafoodbank.atlassian.net/browse/IT-4689] on 10/Jul/2023 01:10 PM\n\nDarb,\n\nCan you tell us more"", ""comment5"": ""07/10/2023 01:11;qm:65d20c5a-0c84-458e-8ce1-adb90d07460f:19f932b4-b42f-4723-a915-05c76f1f5806;This is what is happening\u00e2\u20ac\u00a6"", ""comment6"": ""07/10/2023 01:21;5fb29c170dd553006f224f06;{quote}*[IT-4689]* \""Ticket From - Partner Support - SO-XXXXXX - TEST\"" has been changed to a status of *Completed*\n----\nPlease check this issue for more details{quote}\n"", ""comment7"": ""07/10/2023 01:21;5fb29c170dd553006f224f06;h6. \u00f0\u0178\u008f\u00b3\u00ef\u00b8\u008f Message originally posted in [IT-4689|https://capitalareafoodbank.atlassian.net/browse/IT-4689] on 10/Jul/2023 01:21 PM\n\nTHis is done"", ""comment8"": ""07/10/2023 01:22;5f05c9e30b38b10022652fe4;h6. \u00f0\u0178\u008f\u00b3\u00ef\u00b8\u008f Message originally posted by [~accountid:557058:f58131cb-b67d-43c7-b30d-6b58d40bd077] in [IT-4689|https://capitalareafoodbank.atlassian.net/browse/IT-4689] on 10/Jul/2023 01:22 PM\n\nThe linked issue - [PART-4358] has been resolved"", ""comment9"": ""01/25/2024 11:14;5fb29c170dd553006f224f06;{quote}*[ITS-3982]* \""Ticket From - Partner Support - SO-XXXXXX - TEST\"" has been changed to a status of *Closed*\n----\nPlease check this issue for more details{quote}\n"", ""comment10"": ""04/26/2024 07:53;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Ticket migrated to a new Jira Project. An automation set the Resolution field to Done. This updated the Resolved (a date) field to today's date.  Prior to the migration the Resolve date was not used in metrics.""}",,0.0
test 10,PART1-3843,28206,[System] Service request,Closed,PART1,Partner Support,Medium,Done,DH,i@0rcmyamrn42imag6.aola,BM,2023-07-10 01:38:00,2024-04-26 09:54:00,,2024-04-26 07:53:00,,,,,,,,,,Email Request,English,,0.0,,Email to Jira,5820,,service-request,Done,2023-07-10 03:01:00,00:53:17.300000,"{""comment1"": ""04/26/2024 07:53;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Ticket migrated to a new Jira Project. An automation set the Resolution field to Done. This updated the Resolved (a date) field to today's date.  Prior to the migration the Resolve date was not used in metrics.""}",,0.0
Test 5 - PART,PART1-6049,28107,[System] Service request,Closed,PART1,Partner Support,Medium,Done,DH,lemomiclaos@gsiurga.m,issm@lraoggcoemiualm.,2023-07-07 06:55:00,2024-04-27 12:25:00,,2024-04-26 07:53:00,,This is a description,,,,,,,,General Questions,English,,0.0,,Portal,10800,,service-request,Done,2023-07-12 10:13:00,00:59:28.300000,"{""comment1"": ""07/07/2023 06:59;5fb17b020dd553006f17ff0a;Working on it"", ""comment2"": ""07/07/2023 07:03;5fb17b020dd553006f17ff0a;This should get moved to ERP"", ""comment3"": ""07/07/2023 07:03;5fb17b020dd553006f17ff0a;Hi Darb,\n\nWe have escalated your request to our internal team to look into the technical issue.\n\nThanks,\n\nBrad - Partner Support"", ""comment4"": ""07/07/2023 07:27;5fb29c170dd553006f224f06;h6. \u00f0\u0178\u008f\u00b3\u00ef\u00b8\u008f Message originally posted in [IT-4676|https://capitalareafoodbank.atlassian.net/browse/IT-4676] on 07/Jul/2023 07:27 AM\n\nThanks for escalating to IT.  We will check it out."", ""comment5"": ""07/07/2023 07:32;5fb29c170dd553006f224f06;h6. \u00f0\u0178\u008f\u00b3\u00ef\u00b8\u008f Message originally posted in [IT-4676|https://capitalareafoodbank.atlassian.net/browse/IT-4676] on 07/Jul/2023 07:31 AM\n\nThis is an internal note"", ""comment6"": ""07/12/2023 10:13;5f05c9e30b38b10022652fe4;h6. \u00f0\u0178\u008f\u00b3\u00ef\u00b8\u008f Message originally posted by [~accountid:557058:f58131cb-b67d-43c7-b30d-6b58d40bd077] in [IT-4676|https://capitalareafoodbank.atlassian.net/browse/IT-4676] on 12/Jul/2023 10:13 AM\n\nThe linked issue - [PART-4341] has been resolved"", ""comment7"": ""04/26/2024 07:53;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Ticket migrated to a new Jira Project. An automation set the Resolution field to Done. This updated the Resolved (a date) field to today's date.  Prior to the migration the Resolve date was not used in metrics.""}",,0.0
Re: CAFB Pick Up TOMORROW ,PART1-7176,65688,[System] Service request,Closed,PART1,Partner Support,Medium,Done,CH,m.sne@nisv.-tmuiesttoasyecte,ctiesv-msne.aett.yuetis@sonm,2024-08-14 09:57:00,2024-08-21 01:31:00,,2024-08-15 11:16:00,,"Sent email Friday to cancel order
Yvonne Brown 
Outreach Director 

{quote}On Aug 14, 2024, at 9:05â€¯AM, Customer Support (partnersupport@capitalareafoodbank.org) <system@sent-via.netsuite.com> wrote:

{quote}

{quote}
ï»¿ 
| 
| 
| 
| {color:#172B4D}Good morning,  \\  \\{color} | 
| â€Š | 
| {color:#172B4D}This email confirms your scheduled pickup for tomorrow SO171615. Your selected pickup window is Aug 15, 2024 10:00:00 AM - Aug 15, 2024 11:00:00 AM.{color} | 
| â€Š | 
| â€Š | 
|  {color:#172B4D}*+Pickup Reminder:+* Please thoroughly review and sign your order before you leave. We recommend bringing a copy of the order with you. \\  \\If you have any questions, call us at 202-644-9845 or email {color}[{color:#172B4D}partnersupport@capitalareafoodbank.org{color}|mailto:partnersupport@capitalareafoodbank.org]{color:#172B4D}{color} | 
| â€Š | 
| â€Š | 
| â€Š | 
| {color:#172B4D}The Partner Support Team{color} | 
| 
| 
| | 
| â€Š | 
| 
| !https://229676.app.netsuite.com/core/media/media.nl?id=646019&c=229676&h=mnjMtUh0MbywyWwFI0xWyRMdh9aLYrAU-S-7AlbunWYeZ_vL! |  {color:#5E9732}Capital Area Food Bank{color}  â€Š   {color:#5E9732}*P.* 202.644.9845{color}  {color:#5E9732}4900 Puerto Rico Ave NE, Washington, DC 20017{color}{color:#172B4D}{color}  [{color:#172B4D}www.capitalareafoodbank.org{color}|https://www.capitalareafoodbank.org/]{color:#172B4D}{color} 
| 
| !https://www.mailjet.com/images/theme/v1/icons/ico-social/facebook.png!  <[https://www.facebook.com/CapitalAreaFoodBank]> | 
| 
| !https://www.mailjet.com/images/theme/v1/icons/ico-social/linkedin.png!  <[https://www.linkedin.com/company/capitalareafoodbank]> | 
| 
| !https://www.mailjet.com/images/theme/v1/icons/ico-social/twitter.png!  <[https://twitter.com/foodbankmetrodc]> | 
| 
| !https://www.mailjet.com/images/theme/v1/icons/ico-social/instagram.png!  <[https://www.instagram.com/capitalareafoodbank/]> | 
| | 
    
<Sales Order_SO171615.pdf>{quote}",1. W. 7 F. C. of P. L. C.,Request of Customer Relations,SO171615,DC,Partner Support / Customer Support,,Orders - Pre delivery -> Cancelation,Email Request,English,Order Updated,0.0,,Email to Jira,10740,06:41:00,service-request,Done,2024-08-15 11:16:00,00:57:57.900000,"{""comment1"": ""08/14/2024 09:57;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Hi system@sent-via.netsuite.com, \n\nWe just received your request for assistance. We will reply as soon as possible.\n\nThank you,\nCustomer Relations\nCapital Area Food Bank"", ""comment2"": ""08/15/2024 11:14;712020:b15fa988-bc60-49b4-aa6f-e30b7a3629c1;Good morning,\n\nThank you for contacting customer support. I can confirm that this order has been cancelled.\n\nCharity""}",,0.0
addition ,PART1-6512,55866,[System] Service request,Closed,PART1,Partner Support,Medium,Done,CH,iooohcymea.pcp@ros,ra@iohopype.somcco,2024-05-07 12:17:00,2024-05-11 01:30:00,,2024-05-07 12:45:00,,"Can you please add 25 cases of the following to my order SO 158960{color:#5a5a5a}{color}











!https://linkprotect.cudasvc.com/url?a=https%3a%2f%2forder.capitalareafoodbank.org%2fsca-dev-2023-2-0%2fextensions%2fCAFB%2fFoodBank%2f1.0.10%2fimg%2fno_image_for_item.jpeg&c=E,1,tpZW7Ayi_3JgLBjKHbATw2DRjEUYycVUyKSQiFf35a_kLMtuJ5tB8WMFKeMVW4UnHdq2P483xzYAGoKWO4jYRvTLqBcd_TP3S_KLMqoAbqCdFGLQJA,,&typo=1!{color:#5a5a5a}{color}{color:#5a5a5a}{color}

h1. {color:#5a5a5a}{color}{color:#4e8227}827022 Mangos, 10# CASE -PG Only 1/10 Lbs Case{color}
{color:#4e8227}{color}{color:#5a5a5a}{color}",1. M. SDA C.,Request of Customer Relations,SO158094,MD,Partner Support / Customer Support,,Orders - Pre delivery -> Produce Request,Email Request,English,Order Updated,0.0,,Email to Jira,9180,15:31:00,service-request,Done,2024-05-07 12:45:00,00:17:04.500000,"{""comment1"": ""05/07/2024 12:17;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Hi spicepor@yahoo.com, \n\nWe just received your request for assistance. We will reply as soon as possible.\n\nThank you,\nCustomer Relations\nCapital Area Food Bank"", ""comment2"": ""05/07/2024 12:44;712020:b15fa988-bc60-49b4-aa6f-e30b7a3629c1;Good afternoon,\n\nThank you for contacting customer support. Your order has been updated. \n\nCharity""}",,0.0
Order # SO153494 ,PART1-6653,57872,[System] Service request,Closed,PART1,Partner Support,Medium,Done,CH,tose.srm@eacgoertdryar,osrsdramytegao@rer.cet,2024-05-28 11:55:00,2024-06-01 01:30:00,,2024-05-28 12:32:00,,"Please add the following to my order. 35 cases --- #SO153494


h2.{color:#4e8227}{color} [{color:#4e8227}{color}{color:#dc7a00}300435 Chicken Drumsticks 5# Bag HALAL{color}|https://linkprotect.cudasvc.com/url?a=https%3a%2f%2forder.capitalareafoodbank.org%2f300435-Chicken-Drumsticks-5-bag-HALAL&c=E,1,NCHwj5yxz6PYKXLywFcvqSopGiiQxHNny6t0g_KS17VxUHE9x4uqSHSgIGvV-nl4UMMS_gW3bzxl83cvNS863glWIkjDSbLd-gE1BU009jdUigtFfFsv7Sd3ShWR&typo=1]{color:#dc7a00}{color}{color:#4e8227}{color}
{color:#4e8227}{color}{adf}{""type"":""expand"",""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Pamella Roberts Rubin""},{""type"":""hardBreak""},{""type"":""text"",""text"":""Administrative Assistant""},{""type"":""hardBreak""},{""type"":""text"",""text"":""Metropolitan Seventh-day Adventist Church""},{""type"":""hardBreak""},{""type"":""text"",""text"":""6307 Riggs Road""},{""type"":""hardBreak""},{""type"":""text"",""text"":""Hyattsville, MD 20783""},{""type"":""hardBreak""},{""type"":""text"",""text"":""301-853-2224""},{""type"":""hardBreak""},{""type"":""text"",""text"":""Fx 301-853-9795""}]}],""attrs"":{""title"":""Signature""}}{adf}",1. M. SDA C.,Request of Customer Relations,SO153494,MD,Partner Support / Customer Support,,Orders - Pre delivery -> Edit Order Items,Email Request,English,Order Updated,0.0,,Email to Jira,10740,15:23:00,service-request,Done,2024-05-28 12:32:00,00:55:28.700000,"{""comment1"": ""05/28/2024 11:55;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Hi secretary@metrosda.org, \n\nWe just received your request for assistance. We will reply as soon as possible.\n\nThank you,\nCustomer Relations\nCapital Area Food Bank"", ""comment2"": ""05/28/2024 12:26;712020:b15fa988-bc60-49b4-aa6f-e30b7a3629c1;Good afternoon, \n\nThank you for contacting customer service. I have updated your order. \n\nCharity""}",,0.0
Addition to order SO153490 ,PART1-6475,55371,[System] Service request,Closed,PART1,Partner Support,Medium,Done,CH,iopc.ooocrysamehp@,poe.coocmsohpari@y,2024-05-01 09:27:00,2024-05-07 01:32:00,,2024-05-01 10:55:00,,"Good morning 

Can you please add the following to my order # SO153490
25 cases




{color:#dc7a00}827022 Mangos, 10# CASE -PG Only 1/10 Lbs Case{color}{adf}{""type"":""expand"",""content"":[{""type"":""paragraph"",""content"":[{""type"":""text"",""text"":""Pamella Roberts Rubin""},{""type"":""hardBreak""},{""type"":""text"",""text"":""Administrative Assistant""},{""type"":""hardBreak""},{""type"":""text"",""text"":""Metropolitan Seventh-day Adventist Church""},{""type"":""hardBreak""},{""type"":""text"",""text"":""6307 Riggs Road""},{""type"":""hardBreak""},{""type"":""text"",""text"":""Hyattsville, MD 20783""},{""type"":""hardBreak""},{""type"":""text"",""text"":""301-853-2224""},{""type"":""hardBreak""},{""type"":""text"",""text"":""Fx 301-853-9795""}]}],""attrs"":{""title"":""Signature""}}{adf}",1. M. SDA C. : M. SDA C.,Other,,MD,Partner Support / Customer Support,,Orders - Pre delivery -> Produce Request,Email Request,English,Order Updated,0.0,,Email to Jira,5580,14:31:00,service-request,Done,2024-05-01 10:55:00,00:27:12,"{""comment1"": ""05/01/2024 09:27;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Hi spicepor@yahoo.com, \n\nWe just received your request for assistance. We will reply as soon as possible.\n\nThank you,\nCustomer Relations\nCapital Area Food Bank"", ""comment2"": ""05/01/2024 10:53;712020:b15fa988-bc60-49b4-aa6f-e30b7a3629c1;Good morning, \n\nThank you for contacting customer support. I have added 25 cases of item #827022 Mangos 10# CASE -PG Only 1/10 Lbs Case to SO153490.\n\nCharity""}",,0.0
A little help please! ,PART1-6611,57447,[System] Service request,Closed,PART1,Partner Support,Medium,Done,CH,e SersynmaTer,nSrmerTe easy,2024-05-21 02:08:00,2024-05-28 01:30:00,,2024-05-22 09:24:00,,"The deadline on our grant (FY24 MD Region MOCO 1-H) for $3,097.61 is May 27, 2024. When we tried to enter an order to use up that grant there were no delivery times available before May 27, because of the holiday weekend. We spoke with Charity in Partner Support and she told us to submit our order with a May 28 delivery day and then email you to get the deadline extended by a day.

In addition to extending the deadline, please have your finance department deduct the order from the above mentioned grant. The computer automatically deducted it from our next MOCO grant which expires in June.

I apologize for causing you extra work. Thank you for your assistance. Don't hesitate to call if you have any questions.


Terry
C: 240-793-5108",1. A. C. S. of G. W.,Request of Customer Relations,,MD,,,Billing / Grants -> Grant Support,Email Request,English,Request Approved/Declined,5.0,2024-05-22 09:48:00,Email to Jira,10740,12:44:00,service-request,Done,2024-05-22 09:24:00,00:08:39,"{""comment1"": ""05/21/2024 02:08;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Hi tjseamens@aol.com, \n\nWe just received your request for assistance. We will reply as soon as possible.\n\nThank you,\nCustomer Relations\nCapital Area Food Bank"", ""comment2"": ""05/21/2024 02:51;712020:b15fa988-bc60-49b4-aa6f-e30b7a3629c1;Good afternoon,\n\nThank you for contacting customer support. While extensions are not promised, I have notified the Regional Team of your situation and we are working on a solution. We will follow up with you shortly with any updates.\n\nCharity""}",,0.0
cancelling an order #S0164631 ,PART1-6788,59756,[System] Service request,Closed,PART1,Partner Support,Medium,Done,CH,SLEARRRBJI.OLIW.   TGM, GRIWBALMEROR.JSL.I  T,2024-06-17 11:08:00,2024-06-21 01:30:00,,2024-06-17 11:32:00,,"PLEASE CANCEL OUR ORDER #S0164631 FOR JUNE 21,2024.
WE WILL REORDER FOR A DIFFERENT DATE BECAUSE OF A MEMBER'S
DEATH AND FUNERAL, ON THE DATE OF THE DATE FOR PICK UP.
THANKS.
ROBERT G. WILLIAMS JR.
MT. MORIAH BAPTIST CHURCH
1636 E. CAPITAL ST, NE
WASHINGTON",1. M. M. B. C.,Request of Customer Relations,SO164631,DC,Partner Support / Customer Support,,Orders - Pre delivery -> Cancelation,Email Request,English,Order Updated,5.0,2024-06-17 11:34:00,Email to Jira,10740,15:35:00,service-request,Done,2024-06-17 11:32:00,00:08:22.300000,"{""comment1"": ""06/17/2024 11:08;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Hi ROBERT G. WILLIAMS JR., \n\nWe just received your request for assistance. We will reply as soon as possible.\n\nThank you,\nCustomer Relations\nCapital Area Food Bank"", ""comment2"": ""06/17/2024 11:11;712020:856abdcf-9487-46f8-bf9f-1eafc84baf7f;okay"", ""comment3"": ""06/17/2024 11:24;712020:b15fa988-bc60-49b4-aa6f-e30b7a3629c1;Good morning,\n\nThank you for contacting customer support. I have cancelled your order.\n\nCharity""}",,0.0
Status of delivery of Groceries to go order ,PART1-8571,82345,[System] Service request,Closed,PART1,Partner Support,Medium,Done,DH,.tnsuns.oeecem-tmeti@ivstsay,snv.yi@taceomttunssseee-t.mi,2025-02-14 02:30:00,2025-02-20 01:30:00,,2025-02-14 02:47:00,,"Hello - We have not received our Grocery to Go Order as of 2:30 pm. It was supposed to be delivered by 2:00 pm. Please advise. If it is not coming a robo call needs to go out so all the seniors do not show up. 
Christal Batey 
 
{quote}On Feb 12, 2025, at 11:05â€¯AM, partner Support (partnersupport@capitalareafoodbank.org) <system@sent-via.netsuite.com> wrote:
 
 {quote}
  
{quote} 
ï»¿  

Good morning Partners, 
 
 We hope this message finds you well. Today, February 12th 2025, the Capital Area Food Bank is operating solely in an administrative capacity, and there will be no deliveries or pickups due to the current weather conditions. 
 
 For partners who have orders scheduled for tomorrow or Friday, we plan to operate under normal conditions. However, if you anticipate that your agency will be closed due to the weather, please reach out to Customer Relations as soon as possible to discuss rescheduling your order at partnersupport@capitalareafoodbank.org or 202-644-9845. 
 
 Additionally, even if your site remains open, we require confirmation that your location has been safely plowed and salted to allow for safe deliveries. If a driver arrives at your site and finds it is not adequately prepared, please be aware that your agency may incur a restocking fee. Our delivery equipment cannot navigate through snow or ice safely, and we prioritize the safety of both our drivers and your staff. 
 
 We appreciate your cooperation and understanding as we work together to ensure everyone's safety during this weather event. We are actively monitoring the situation and will keep you updated with any changes regarding our operations for the rest of the week.
 
 Thank you for your partnership. Stay safe and warm!
 
 Best regards, 
 Customer Relations  {quote}",1. C. of G.,Request of Customer Relations,,MD,Partner Support / Customer Support,,Agency Administration -> Connection to CAFB Staff,Email Request,English,Connected to CAFB Staff,0.0,,Email to Jira,10740,15:43:00,service-request,Done,2025-02-14 02:47:00,00:36:02.400000,"{""comment1"": ""02/14/2025 02:36;61536ea272f6970069fc1dbd;Good afternoon,  \nPlease reach out to the Senior Program at 202-644-9880 or shs@capitalareafoodbank.org. Unfortunately, we cannot provide an ETA for your Grocery Go Order as that is managed by another department.  \nThank you,  \n\""D\"""", ""comment2"": ""02/14/2025 02:40;61536ea272f6970069fc1dbd;I consulted with my fellow team member on the Senior Hunger Program and she let me know that your delivery on Tuesday 2.18. "", ""comment3"": ""02/14/2025 02:46;61536ea272f6970069fc1dbd;Disregard, Michelle let me know you are talking to someone on her team, thank you! ""}",,0.0
